nombre;isin ;retrocesion
FF GLOBAL TECHNOLOGY A ACC EUR;LU1213836080;0,74%
FF WORLD FUND E ACC EUR;LU0115769746;1,50%
FIDELITY FDS ABS RT GB EQ A;LU2210151341;0,75%
Fidelity Funds - China Focus Fund A-Acc-EUR;LU0318931192;0,75%
Fidelity Funds - Emerging Asia Fund E-Acc-EUR;LU0630951415;1,40%
FIRST EAGLE AMUNDI INT FU USD;LU0181962126;1,50%
FLOSSBACH STORCH BND OPPORTU RT ACC EUR;LU1481583711;0,41%
Flossbach von Storch Multiple Opportunities II;LU1245469744;0,90%
Foncess Flexible ES0164949002;ES0164949002;1,47%
Fondibas;ES0138936036;1,72%
Fonvalcem ES0138930005;ES0138930005;1,27%
FRANKLIN EUROPEAN TOTAL RETURN A ACC EUR;LU0170473374;0,41%
FRANKLIN GLOBAL CONVERTIBLE SEC A AC EUR;LU0727122854;0,74%
FRANKLIN US OPPORT A ACC EUR;LU0260869739;0,90%
FTGF ClearBridge Infrastructure Value Fund Class A Euro Accumulating;IE00BD4GTQ32;1,00%
Fundsmith Equity Fund T EUR Acc;LU0690375182;0,10%
Gaesco Japon;ES0141113037;1,35%
GB II JPB GRWTH;ES0168797092;0,47%
GESCONSULT FI CORTO PLAZO A ACC EUR;ES0138922036;0,46%
GESCONSULT LEON VALORES MIXTO FLEX. A;ES0175604034;1,82%
GESCONSULT OPORTUNIDAD RENTA FIJA FI A;ES0140986011;0,59%
GESCONSULT RENT VARI IBERIA FI;ES0137381036;1,35%
GESCONSULT RENTA FIJA FLEXIBLE, FI;ES0138217031;1,41%
Gestión Boutique Bissan Value Fund FI ;ES0116831001;0,16%
Gestión Boutique IV Alclam US Equities FI;ES0168799056;0,47%
Gestion Boutique V Robotics R FI ;ES0131462022;0,34%
Gestión Talento Value ;ES0141991002;1,11%
Gestión Value A FI;ES0125323008;0,87%
GESTION VALUE FI ACC EUR;ES0141113003;0,89%
GLOBAL FINANCIAL SERVICES A;LU1391767586;0,75%
GLOBAL SMALLER COMP AE EUR;LU0570870567;0,80%
GLOBAL TECHNOLOGY R EUR;IE00BZ4D7648;0,50%
Goldman Sachs India Equity Portfolio E Acc EUR;LU0333810850;1,46%
GROUPAMA AVENIR EUROPE - NC ACC EUR;FR0010288308;0,68%
Groupama Global Disruption NC;LU1897556517;0,60%
GROUPAMA TRESORERIE I ACC EUR;FR0000989626;0,00%
GS EMERGIN MARKETS EQ PORTF E;LU0133267202;1,46%
GS EUROPE CORE EQUITY PF BASE DIS EUR;LU0102219945;0,61%
GS GLBL MILLENIAL EQ OTHERCURREN DIS EUR;LU1273541463;0,74%
GVC GAESCO EUROPA FI;ES0140643034;1,35%
Hamco Global Value Fund R FI;ES0141116030;0,34%
HAMCO SICAV GLB VAL R EUR ACC;LU3038481936;0,34%
Incometric Fund Nartex Equity Fund A Cap EUR Accumulation;LU2357235493;0,00%
INCOMETRIC FUND NARTEX EQUITY R ACC EUR;LU2357235576;0,40%
INDEXA MÁS RENTABILIDAD ACCIONES PP;N5138 (DGS);0,05%
INDIAN EQ A2 ACC USD;LU0231490524;1,01%
INVESCO ASIAN EQUITY FUND E ACC EUR;LU0115141110;1,52%
INVESCO CHINA FOCUS EQUITY E ACC EUR;LU0714907184;1,52%
Invesco Funds - Invesco Global Equity Income Fund E Accumulation EUR;LU0607513586;1,37%
Invesco Funds - Invesco Global Founders & Owners Fund E Accumulation EUR;LU1762221155;0,00%
INVESCO GLOBAL CONS TR FUND E ACC EUR;LU0115139569;1,52%
INVESCO PAN EUROP EQUITY FUND E ACC EUR;LU0115142191;1,35%
INVESCO PAN EUROP STRUCTURED EQ E AC EUR;LU0119750205;1,52%
