isin,name,asset_type,asset_subtype,region_primary,risk_bucket,classification_confidence,exposure_confidence,warnings,audit_flags,is_suitable_low_risk,is_sector_fund,sector_focus,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
LU0733673288,Nordea 1 - European Cross Credit Fund BP EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,SHORT,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU0795636256,Schroder International Selection Fund Emerging Markets Hard Currency A Accumulation EUR Hedged,FIXED_INCOME,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,LONG,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU0849399786,Schroder International Selection Fund EURO High Yield A Accumulation,FIXED_INCOME,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,SHORT,RF,RF Bonos Alto Rendimiento EUR,0.0,100.0,0.0,0.0
LU0910636546,Goldman Sachs Emerging Markets Debt Blend Portfolio Other Currency Acc EUR,UNKNOWN,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,RF Global Emergente - Sesgo EUR,0.0,0.0,0.0,0.0
LU0910636892,Goldman Sachs Emerging Markets Debt Blend Portfolio E Acc EUR,UNKNOWN,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,RF Global Emergente - Sesgo EUR,0.0,0.0,0.0,0.0
LU0926439992,Vontobel Fund - Emerging Markets Debt H (hedged) EUR Cap,FIXED_INCOME,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,MEDIUM,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU0935222900,Natixis AM Funds - Ostrum Euro Inflation R/A (EUR),FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,UNKNOWN,RF,RF Bonos Ligados Inflación EUR,0.0,100.0,0.0,0.0
LU0995119665,Schroder International Selection Fund EURO Credit Conviction A Accumulation EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,MEDIUM,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
LU0995119749,Schroder International Selection Fund EURO Credit Conviction B Accumulation EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,MEDIUM,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
LU1021288268,AB - Mortgage Income Portfolio A2 EUR Acc,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,RF,RF Flexible USD,0.0,100.0,0.0,0.0
LU1022658667,Franklin Euro Short Duration Bond Fund A(acc)EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,SHORT,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
