isin,name,asset_type,asset_subtype,region_primary,risk_bucket,classification_confidence,exposure_confidence,warnings,audit_flags,is_suitable_low_risk,is_sector_fund,sector_focus,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0133593030,"EUROBOLSA SELECCION SICAV, SA",UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.5,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY; LOW_CONFIDENCE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,,0.0,0.0,0.0,0.0
ES0140986011,Gesconsult Oportunidad Renta Fija A FI,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.5,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY; LOW_CONFIDENCE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,,0.0,0.0,0.0,0.0
IE00B8J38129,Algebris UCITS Funds plc - Algebris Financial Credit Fund R EUR Acc,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.5,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY; LOW_CONFIDENCE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,,0.0,0.0,0.0,0.0
LU1883334275,Amundi Funds - Global Subordinated Bond A EUR (C),UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.5,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY; LOW_CONFIDENCE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,,0.0,0.0,0.0,0.0
