freeze_id,isin,name,target_collection,conflict_category,severity,recommended_action,exists_in_funds_v3,conflict_fields_count,conflict_fields,conflict_details,protected_present_fields_count,source_csv,freeze_decision
BDB-CSV-1,LU0302446991,Schroder International Selection Fund Global Climate Change Equity B Accumulation,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0309468980,Nordea 1 - Latin American Equity Fund E EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0313923228,BlackRock Strategic Funds - European Opportunities Extension Fund A2 EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0320896664,Robeco BP US Premium Equities DH €,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.395000+00:00 :: FIRESTORE=2026-01-15T22:02:57.395000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0321373184,Schroder International Selection Fund European Dividend Maximiser B Distribution,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.395000+00:00 :: FIRESTORE=2026-01-15T22:02:57.395000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0329203656,JPM Global Dividend D (acc) - EUR (hedged),funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.last_repaired_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.395000+00:00 :: FIRESTORE=2026-01-15T22:02:57.395000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0329430986,GAM Multistock - Luxury Brands Equity EUR E,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.395000+00:00 :: FIRESTORE=2026-01-15T22:02:57.395000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0331286574,BlackRock Global Funds - Sustainable Energy Fund C2 (EUR),funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.166000+00:00 :: FIRESTORE=2026-01-25T07:45:06.166000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0333810850,Goldman Sachs India Equity Portfolio E Acc EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.last_repaired_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.395000+00:00 :: FIRESTORE=2026-01-15T22:02:57.395000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0336084032,Carmignac Pf Flexible Bond A EUR Acc,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
