isin,name,ms_category_morningstar,asset_class,asset_subtype,primary_region,confidence,reason
LU0501220429,Global Evolution Funds Frontier Markets R EUR,RF Global Emergente - Sesgo EUR,RF,GLOBAL_EQUITY,Emergentes,0.9300000000000002,Renta fija con subtipo de equity
LU0546917344,Goldman Sachs Euro Long Duration Bond - P Cap EUR,RF Largo Plazo EUR,RF,PRECIOUS_METALS,Global,0.9000000000000001,Incoherencia asset_class / asset_subtype
LU0568620560,Amundi Funds - Cash EUR A2 EUR (C),Mercado Monetario Estable EUR,Monetario,MONEY_MARKET,Global,0.9000000000000001,Monetario con subtipo no monetario
LU0568620727,Amundi Funds - Cash EUR G2 EUR (C),Mercado Monetario Estable EUR,Monetario,MONEY_MARKET,Global,0.9000000000000001,Monetario con subtipo no monetario
LU0607983896,Nordea 1 - Alpha 15 MA Fund BP EUR,Alt - Multistrategy,Alternativos,SYSTEMATIC_ALTERNATIVE,USA,0.9800000000000002,Incoherencia asset_class / asset_subtype
LU0795636256,Schroder International Selection Fund Emerging Markets Hard Currency A Accumulation EUR Hedged,RF Global Emergente - Sesgo EUR,RF,GLOBAL_EQUITY,Emergentes,0.9300000000000002,Renta fija con subtipo de equity
LU0910636546,Goldman Sachs Emerging Markets Debt Blend Portfolio Other Currency Acc EUR,RF Global Emergente - Sesgo EUR,RF,PRECIOUS_METALS,Emergentes,0.9300000000000002,Incoherencia asset_class / asset_subtype
LU0910636892,Goldman Sachs Emerging Markets Debt Blend Portfolio E Acc EUR,RF Global Emergente - Sesgo EUR,RF,PRECIOUS_METALS,Emergentes,0.9300000000000002,Incoherencia asset_class / asset_subtype
LU1021288268,AB - Mortgage Income Portfolio A2 EUR Acc,RF Flexible USD,RF,GLOBAL_INCOME_EQUITY,Global,0.9000000000000001,Renta fija con subtipo de equity
LU1061675168,Goldman Sachs Frontier Markets Debt (Hard Currency) - X Cap EUR (hedged i),RF Global Emergente - Sesgo EUR,RF,PRECIOUS_METALS,Emergentes,0.9300000000000002,Incoherencia asset_class / asset_subtype
LU1103307408,Goldman Sachs Absolute Return Tracker Portfolio Other Currency Acc EUR-Hedged,Alt - Multistrategy,Alternativos,SYSTEMATIC_ALTERNATIVE,Global,0.9000000000000001,Incoherencia asset_class / asset_subtype
LU1162516717,BlackRock Systematic Global Equity Absolute Return Fund A2 EUR Hedged,Alt - Market Neutral - Equity,Alternativos,ALTERNATIVE_MULTI_STRATEGY,Global,0.9500000000000002,Incoherencia asset_class / asset_subtype
LU1223083087,Schroder International Selection Fund Global Gold A Accumulation EUR Hedged,RV Sector Otros,RV,PRECIOUS_METALS,Global,0.99,Incoherencia asset_class / asset_subtype
LU1223084051,Schroder International Selection Fund Global Gold A Accumulation PLN Hedged,RV Sector Otros,RV,PRECIOUS_METALS,Global,0.99,Incoherencia asset_class / asset_subtype
LU1317704135,Carmignac Portfolio Long-Short European Equities E EUR Acc,Alt - Long/Short Equity - Europe,Alternativos,ALTERNATIVE_MULTI_STRATEGY,Europa,0.99,Incoherencia asset_class / asset_subtype
LU1373035234,BlackRock Strategic Funds - BSF Systematic Style Factor Fund E2 EUR Hedged,Alt - Multistrategy,Alternativos,SYSTEMATIC_ALTERNATIVE,USA,0.99,Incoherencia asset_class / asset_subtype
LU1542714578,Goldman Sachs Europe Sustainable Equity - X Cap EUR,RV Europa Cap. Grande Growth,RV,PRECIOUS_METALS,Europa,0.99,Incoherencia asset_class / asset_subtype
LU1578889864,Ninety One Global Strategy Fund - Global Gold Fund A Acc EUR Hedged,RV Sector Otros,RV,PRECIOUS_METALS,Global,0.99,Incoherencia asset_class / asset_subtype
LU1717592262,Groupama Global Inflation Short Duration NC,Morningstar Global Treasury Inflation-Linked Securities GR Hedged EUR,Monetario,MONEY_MARKET,Global,0.9000000000000001,Monetario con subtipo no monetario
LU1873127366,JPMorgan Liquidity Funds - EUR Liquidity LVNAV Fund A (acc.),EUR Money Market - Short Term,Monetario,MONEY_MARKET,Global,0.9000000000000001,Monetario con subtipo no monetario
LU2094235707,Goldman Sachs Global Future Technology Leaders Equity Portfolio Class E Shares EUR Acc,RV Sector Tecnología,RV,PRECIOUS_METALS,Global,0.99,Incoherencia asset_class / asset_subtype
LU2210151341,Fidelity Funds - Absolute Return Global Equity Fund A-PF-Acc-Euro (Euro/USD hedged),Alt - Market Neutral - Equity,Alternativos,ALTERNATIVE_MULTI_STRATEGY,Global,0.99,Incoherencia asset_class / asset_subtype
