audit_id,generated_at_utc,isin,doc_id,name,field_path,current_asset_mix,proposed_asset_mix,current_sum,proposed_sum,fix_rule,confidence,source_confidence,write_allowed,validation_ok,precondition_current_sum_0_95_1_05,precondition_proposed_sum_95_105,classification_asset_type,classification_asset_subtype,derived_asset_class
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1223084051,LU1223084051,Schroder International Selection Fund Global Gold A Accumulation PLN Hedged,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0024, ""cash"": 0.047, ""equity"": 0.9486, ""other"": 0.002}","{""bond"": 0.24, ""cash"": 4.7, ""equity"": 94.86, ""other"": 0.2}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1244893696,LU1244893696,Edmond de Rothschild Fund - Big Data A-EUR accumulating,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0046, ""cash"": 0.0349, ""equity"": 0.9605, ""other"": 0.0}","{""bond"": 0.46, ""cash"": 3.49, ""equity"": 96.05, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1244895394,LU1244895394,Edmond de Rothschild Fund - Big Data R EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0023, ""cash"": 0.049, ""equity"": 0.9487, ""other"": 0.0}","{""bond"": 0.23, ""cash"": 4.9, ""equity"": 94.87, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1245469744,LU1245469744,Flossbach von Storch - Multiple Opportunities II ET,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0387, ""cash"": 0.0783, ""equity"": 0.7808, ""other"": 0.1021}","{""bond"": 3.87, ""cash"": 7.83, ""equity"": 78.08, ""other"": 10.21}",0.9999,99.99,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,allocation,FLEXIBLE_ALLOCATION,Mixto
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1254412460,LU1254412460,abrdn SICAV I - Indian Bond Fund A Acc EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.9759, ""cash"": 0.0241, ""equity"": 0.0, ""other"": 0.0}","{""bond"": 97.59, ""cash"": 2.41, ""equity"": 0.0, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,CORPORATE_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1279334483,LU1279334483,Pictet - Robotics R EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0009, ""cash"": 0.0319, ""equity"": 0.9671, ""other"": 0.0}","{""bond"": 0.09, ""cash"": 3.19, ""equity"": 96.71, ""other"": 0.0}",0.9999,99.99,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1295551144,LU1295551144,Capital Group New Perspective Fund (LUX) B (EUR),portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0346, ""equity"": 0.9628, ""other"": 0.0026}","{""bond"": 0.0, ""cash"": 3.46, ""equity"": 96.28, ""other"": 0.26}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,GLOBAL_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1299306321,LU1299306321,Carmignac Portfolio Sécurité AW EUR Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.7586, ""cash"": 0.2394, ""equity"": 0.0, ""other"": 0.0021}","{""bond"": 75.86, ""cash"": 23.94, ""equity"": 0.0, ""other"": 0.21}",1.0001,100.01,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,CORPORATE_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1299311164,LU1299311164,Carmignac Portfolio Investissement A EUR Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0178, ""equity"": 0.9822, ""other"": 0.0}","{""bond"": 0.0, ""cash"": 1.78, ""equity"": 98.22, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,GLOBAL_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1299311834,LU1299311834,Carmignac Portfolio Investissement E EUR Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0137, ""equity"": 0.9863, ""other"": 0.0}","{""bond"": 0.0, ""cash"": 1.37, ""equity"": 98.63, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,GLOBAL_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1301026388,LU1301026388,Sycomore Fund SICAV - Sycomore Europe Happy@Work RC EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0006, ""cash"": 0.0372, ""equity"": 0.9621, ""other"": 0.0001}","{""bond"": 0.06, ""cash"": 3.72, ""equity"": 96.21, ""other"": 0.01}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1321847805,LU1321847805,BlackRock Strategic Funds - Emerging Markets Equity Strategies Fund E2 EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0119, ""cash"": 0.0094, ""equity"": 0.9786, ""other"": 0.0}","{""bond"": 1.19, ""cash"": 0.94, ""equity"": 97.86, ""other"": 0.0}",0.9999,99.99,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1330191542,LU1330191542,Magallanes Value Investors UCITS European Equity R EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0682, ""equity"": 0.9318, ""other"": 0.0}","{""bond"": 0.0, ""cash"": 6.82, ""equity"": 93.18, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1333148903,LU1333148903,Azvalor Lux SICAV Azvalor International R,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0095, ""cash"": 0.0226, ""equity"": 0.9679, ""other"": 0.0}","{""bond"": 0.95, ""cash"": 2.26, ""equity"": 96.79, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,GLOBAL_EQUITY,RV
