isin;name;current_retrocession;new_retrocession;delta;action;status;review_required;reason;source;as_of_date;notes
LU1697017256;Sigma Investment House FCP - Selection Moderate Class A EUR;1.25;1.25;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697017686;Sigma Investment House FCP - Selection Dynamic Class A EUR;1.3;1.3;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697018064;Sigma Investment House FCP - Best Morgan Stanley Class A EUR;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697018494;Sigma Investment House FCP - Best JP Morgan Class A EUR;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1706854152;Amundi S.F. - Diversified Short-Term Bond Select A EUR ND;0.3;0.3;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1762221155;Invesco Funds - Invesco Global Founders & Owners Fund E Accumulation EUR;1.38;0;-1.38;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 1.3800 >= 0.5; relative change 100.00% >= 50%";bank;2026-05-08;
LU1819480192;Echiquier Artificial Intelligence B EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1829329819;CT (Lux) - Pan European Smaller Companies 1E (EUR Accumulation Shares);0.83;0.83;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1897556517;Groupama Global Disruption NC;0.6;0.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1899018870;Sigma Investment House FCP - Best M&G Class A EUR Accumulation;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1899018953;Sigma Investment House FCP - Best Blackrock Class A EUR Accumulation;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1899019175;Sigma Investment House FCP - Smart Horizon Class A EUR Accumulation;1.65;1.65;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1902444584;CPR Invest - Climate Bonds Euro - A EUR - Acc;0.1;0;-0.1;REVIEW;LARGE_CHANGE_REVIEW;true;relative change 100.00% >= 50%;bank;2026-05-08;
LU1917163617;BlackRock Global Funds - FinTech Fund E2;1.12;1.12;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1931535931;Allianz Pet and Animal Wellbeing AT EUR;0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1951204046;Natixis International Funds (Lux) I - Thematics Meta Fund R/A (EUR);0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1983299162;Schroder International Selection Fund Global Alternative Energy A Accumulation;0;0.72;0.72;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7200 >= 0.5;bank;2026-05-08;
LU2000523212;;;0.72;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU2092176515;BlueBox Funds - BlueBox Global Technology Fund Class C EUR Acc;1.1;1.1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2146190835;Robeco Sustainable Water D-EUR Capitalisation;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2210151341;Fidelity Funds - Absolute Return Global Equity Fund A-PF-Acc-Euro (Euro/USD hedged);0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2222028099;Merchbanc FCP Renta Fija Flex A;0.98;0.98;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2240056015;Lonvia Mid-Cap Europe Retail;0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2240056445;Lonvia Mid-Cap Euro Retail;0.83;0.83;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2240057096;;;0.9;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU2278574558;Buy & Hold Luxembourg B&H Equity Class 2;0.99;0.99;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2278574715;Buy & Hold Luxembourg B&H Flexible Class 2;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2278574988;Buy & Hold Luxembourg B&H Bond Class 2;0.96;0.96;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2357235493;Incometric Fund Nartex Equity Fund A Cap EUR Accumulation;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2357235576;Incometric Fund Nartex Equity Fund R Cap EUR Accumulation;0.4;0.4;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2375689580;Sigma Investment House FCP - Global Equity A EUR Income;2.5;2.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2482630162;European Specialist Investment Funds - M&G European Credit Investment Fund Class P EUR Acc;0.2;0.2;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2504555777;Fidelity Funds - Global Industrials Fund A-Acc-EUR;1.4;1.4;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2697545163;BlackRock Global Funds - Euro High Yield Fixed Maturity Bond Fund 2027 Class A2;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2697545247;BGF Euro Investment Grade Fixed Maturity Bond Fund 2028 A2;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2743151057;Natixis International Funds (Lux) I - Ossiam Shiller Barclays CAPE® US Fund R/A (EUR);0.6;0.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU3038481936;Hamco SICAV - Global Value R EUR Acc;0.34;0.34;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
