isin;name;current_retrocession;new_retrocession;delta;action;status;review_required;reason;source;as_of_date;notes
LU0093503737;BlackRock Global Funds - ESG Multi-Asset Fund E2;0.97;0.97;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0094557526;MFS Meridian Funds - European Research Fund A1 EUR;0.9;0.9;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0102219945;Goldman Sachs Europe CORE Equity Portfolio Base Inc EUR;0.61;0.61;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0113257694;Schroder International Selection Fund EURO Corporate Bond A Accumulation EUR;0;0.45;0.45;UPDATE_DRY_RUN;UPDATE_CONFIRMED;false;deterministic value change;bank;2026-05-08;
LU0114722738;Fidelity Funds - Global Financial Services Fund E-Acc-EUR;0;1.38;1.38;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.3800 >= 0.5;bank;2026-05-08;
LU0114723033;Fidelity Funds - Global Industrials Fund E-Acc-EUR;1.38;1.38;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0115139569;Invesco Funds - Invesco Global Consumer Trends Fund E Accumulation EUR;1.52;1.52;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0115141110;;;1.52;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0115142191;;;1.35;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0115759606;Fidelity Funds - America Fund E-Acc-EUR;1.5;1.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0115769746;Fidelity Funds - World Fund E-Acc-EUR;1.5;1.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0117843481;JPMorgan Funds - Taiwan Fund A (dist) - USD;0;1.44;1.44;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.4400 >= 0.5;bank;2026-05-08;
LU0117843721;JPMorgan Funds - Taiwan Fund D (acc) - USD;1.63;1.63;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0117858596;JPMorgan Funds - Europe Equity Fund D (acc) - EUR;1.44;1.44;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0117858752;JPMorgan Funds - Europe Strategic Value Fund D (acc) - EUR;1.46;1.46;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0119620416;Morgan Stanley Investment Funds - Global Brands Fund A;0;0.79;0.79;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7900 >= 0.5;bank;2026-05-08;
LU0119750205;Invesco Funds - Invesco Sustainable Pan European Systematic Equity Fund A Acc;0;1.52;1.52;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.5200 >= 0.5;bank;2026-05-08;
LU0125951151;MFS Meridian Funds - European Value Fund A1 EUR;0;0.89;0.89;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.8900 >= 0.5;bank;2026-05-08;
LU0133267202;Goldman Sachs Emerging Markets Equity Portfolio E Acc EUR;1.46;1.46;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0133717503;Schroder International Selection Fund EURO Corporate Bond A1 Accumulation EUR;0;0.45;0.45;UPDATE_DRY_RUN;UPDATE_CONFIRMED;false;deterministic value change;bank;2026-05-08;
LU0157179127;JPMorgan Investment Funds - Global Select Equity Fund D (acc) EUR;1.46;1.46;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0162660350;BlackRock Global Funds - Euro Corporate Bond Fund A1;0.5;0.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
